HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458363.665,2018-09-02.1634994,bg,1.54,16.013,15.872,0.193,1.719,0.302,V
2458363.667,2018-09-02.1647616,bg,1.61,15.961,15.646,0.164,2.116,0.317,V
2458363.668,2018-09-02.1660361,bg,1.95,99.99,99.99,99.99,99.99,99.99,V
2458364.659,2018-09-03.1571695,bk,2.18,16.956,15.979,0.089,1.474,0.12,g
2458364.66,2018-09-03.1583906,bk,2.19,16.995,15.919,0.081,1.558,0.116,g
2458364.661,2018-09-03.1596160,bk,2.19,17.013,16.099,0.094,1.32,0.114,g
2458365.662,2018-09-04.1599358,bg,1.41,15.961,15.598,0.157,2.212,0.317,V
2458365.663,2018-09-04.1611988,bg,1.44,16.087,15.799,0.168,1.837,0.282,V
2458365.664,2018-09-04.1624753,bg,1.4,16.014,15.465,0.132,2.499,0.302,V
2458366.663,2018-09-05.1611875,bg,1.51,15.919,15.476,0.146,2.475,0.33,V
2458366.664,2018-09-05.1624636,bg,1.5,16.046,15.912,0.194,1.657,0.293,V
2458366.665,2018-09-05.1637387,bg,1.5,15.941,15.59,0.158,2.23,0.323,V
2458367.604,2018-09-06.1029792,bg,1.56,16.197,15.836,0.157,1.776,0.255,V
2458367.606,2018-09-06.1042538,bg,1.52,16.077,15.69,0.153,2.032,0.285,V
2458367.607,2018-09-06.1055302,bg,1.54,16.002,15.549,0.144,2.314,0.305,V
2458368.635,2018-09-07.1341800,bg,1.52,15.944,15.944,99.99,1.504,0.322,V
2458368.637,2018-09-07.1354376,bg,1.49,16.124,15.804,0.163,1.829,0.273,V
2458368.638,2018-09-07.1367030,bg,1.53,15.996,15.682,0.164,2.048,0.307,V
2458369.648,2018-09-08.1467960,bg,2.16,15.918,15.494,0.148,2.434,0.33,V
2458369.649,2018-09-08.1480702,bg,2.18,15.815,15.347,0.142,2.787,0.363,V
2458369.651,2018-09-08.1493434,bg,2.16,15.802,15.683,0.197,2.045,0.367,V
2458370.582,2018-09-09.0804958,bg,1.54,15.995,15.306,0.116,2.895,0.307,V
2458370.583,2018-09-09.0817651,bg,1.96,15.892,15.68,0.18,2.052,0.338,V
2458370.584,2018-09-09.0830420,bg,1.53,16.088,15.716,0.156,1.984,0.282,V
2458371.625,2018-09-10.1242283,bg,1.53,16.124,15.665,0.144,2.08,0.273,V
2458371.628,2018-09-10.1268010,bg,1.47,16.145,15.747,0.152,1.928,0.267,V
2458372.598,2018-09-11.0970777,bg,1.61,15.952,15.153,0.105,3.331,0.32,V
2458372.599,2018-09-11.0983491,bg,1.58,15.895,15.645,0.174,2.117,0.337,V
2458372.601,2018-09-11.0996224,bg,1.58,15.93,15.77,0.189,1.887,0.326,V
2458373.594,2018-09-12.0933685,bg,1.61,16.046,15.424,0.124,2.595,0.293,V
2458373.595,2018-09-12.0946351,bg,1.61,16.008,15.365,0.121,2.742,0.304,V
2458373.597,2018-09-12.0959098,bg,1.53,99.99,99.99,99.99,99.99,99.99,V
2458375.537,2018-09-14.0364513,bg,1.46,16.117,15.669,0.145,2.071,0.274,V
2458375.538,2018-09-14.0377140,bg,1.49,16.024,15.814,0.181,1.812,0.299,V
2458375.54,2018-09-14.0389906,bg,1.43,16.015,15.681,0.161,2.05,0.301,V
2458376.524,2018-09-15.0230533,bk,1.48,16.956,16.266,0.116,1.131,0.12,g
2458376.526,2018-09-15.0254986,bk,1.45,16.996,16.601,0.153,0.831,0.116,g
2458382.609,2018-09-21.1089438,bg,1.57,15.482,15.482,99.99,1.155,0.492,V
2458382.61,2018-09-21.1102217,bg,1.55,15.369,15.369,99.99,2.261,0.546,V
2458382.611,2018-09-21.1115298,bg,1.49,15.505,15.505,99.99,0.795,0.482,V
2458383.582,2018-09-22.0818052,bk,1.47,16.018,13.575,0.023,13.486,0.286,g
2458383.583,2018-09-22.0830166,bk,1.55,16.162,16.143,0.216,1.267,0.249,g
2458383.584,2018-09-22.0842326,bk,1.45,16.232,15.97,0.173,1.486,0.234,g
2458384.57,2018-09-23.0706342,bg,1.41,15.671,15.548,0.196,2.316,0.414,V
2458384.572,2018-09-23.0718988,bg,1.45,15.588,15.588,99.99,1.479,0.446,V
2458384.573,2018-09-23.0731616,bg,1.5,15.59,15.59,99.99,1.456,0.446,V
2458385.533,2018-09-24.0338524,bk,1.44,16.254,16.254,99.99,0.396,0.229,g
2458385.535,2018-09-24.0350709,bk,1.48,16.14,16.14,99.99,0.415,0.254,g
2458385.536,2018-09-24.0362859,bk,1.51,16.251,15.083,0.075,3.365,0.23,g
2458386.605,2018-09-25.1053368,bk,1.48,15.896,15.896,99.99,1.007,0.318,g
2458386.606,2018-09-25.1065568,bk,1.47,15.745,15.745,99.99,1.313,0.366,g
2458386.607,2018-09-25.1077777,bk,1.46,15.787,13.651,0.031,12.575,0.353,g
2458392.577,2018-10-01.0778769,bG,1.49,15.41,15.41,99.99,0.539,0.498,g
2458392.578,2018-10-01.07915,bG,1.47,15.895,15.895,99.99,0.438,0.319,g
2458392.579,2018-10-01.0804174,bG,1.42,16.564,16.452,0.198,0.954,0.172,g
2458393.569,2018-10-02.0705953,bG,1.48,17.064,16.158,0.095,1.249,0.108,g
2458393.571,2018-10-02.0718684,bG,1.45,17.097,16.725,0.156,0.742,0.105,g
2458393.572,2018-10-02.0731457,bG,1.39,17.063,16.244,0.103,1.154,0.109,g
2458394.57,2018-10-03.0713239,bG,1.5,17.044,16.176,0.099,1.229,0.111,g
2458394.571,2018-10-03.0725936,bG,1.44,16.97,16.133,0.101,1.279,0.118,g
2458394.573,2018-10-03.0738598,bG,1.45,17.228,16.356,0.098,1.041,0.093,g
2458395.566,2018-10-04.0677762,bG,1.48,15.099,15.099,99.99,0.975,0.663,g
2458395.568,2018-10-04.0690481,bG,1.44,14.884,14.884,99.99,1.438,0.808,g
2458395.569,2018-10-04.0703125,bG,1.54,15.051,15.051,99.99,0.891,0.693,g
2458396.563,2018-10-05.0646381,bG,1.47,16.859,16.267,0.127,1.13,0.131,g
2458396.565,2018-10-05.0659197,bG,1.48,16.962,15.628,0.064,2.036,0.119,g
2458396.566,2018-10-05.0671827,bG,1.44,17.098,15.942,0.076,1.525,0.105,g
2458397.561,2018-10-06.0620341,bG,1.38,17.167,16.135,0.085,1.276,0.099,g
2458397.562,2018-10-06.0633020,bG,1.42,17.094,16.536,0.131,0.882,0.106,g
2458397.563,2018-10-06.0646241,bG,1.43,17.145,16.297,0.1,1.099,0.101,g
2458398.557,2018-10-07.0581621,bG,1.44,17.036,16.067,0.09,1.358,0.111,g
2458398.558,2018-10-07.0594368,bG,1.43,17.082,16.686,0.152,0.769,0.107,g
2458398.559,2018-10-07.0607217,bG,1.47,16.896,16.097,0.105,1.321,0.127,g
2458399.514,2018-10-08.0152527,bG,1.43,14.405,14.405,99.99,-0.302,1.257,g
2458399.515,2018-10-08.0165160,bG,1.4,99.99,99.99,99.99,99.99,99.99,g
2458399.516,2018-10-08.0177914,bG,1.48,14.405,14.405,99.99,-0.933,1.257,g
2458401.533,2018-10-10.0344390,bG,1.49,17.036,16.263,0.107,1.136,0.111,g
2458401.534,2018-10-10.0357096,bG,1.41,17.163,16.431,0.112,0.972,0.099,g
2458401.535,2018-10-10.0369974,bG,1.5,16.973,16.052,0.094,1.377,0.118,g
2458408.526,2018-10-17.0283255,bG,1.51,16.478,15.937,0.133,1.532,0.186,g
2458408.527,2018-10-17.0295987,bG,1.44,16.494,16.252,0.175,1.146,0.183,g
2458408.528,2018-10-17.0308657,bG,1.44,16.522,16.294,0.178,1.102,0.179,g
2458409.389,2018-10-17.8914230,bp,1.75,99.99,99.99,99.99,99.99,99.99,g
2458409.487,2018-10-17.9895462,bG,1.46,16.004,16.004,99.99,1.093,0.288,g
2458409.488,2018-10-17.9908218,bG,1.48,16.031,16.031,99.99,1.299,0.281,g
2458409.49,2018-10-17.9920966,bG,1.43,16.12,16.001,0.197,1.444,0.259,g
2458410.511,2018-10-19.0135180,bG,1.47,16.538,16.26,0.17,1.137,0.176,g
2458410.512,2018-10-19.0147856,bG,1.52,16.633,16.32,0.165,1.076,0.161,g
2458410.513,2018-10-19.0160736,bG,1.44,16.451,16.335,0.197,1.062,0.191,g
2458411.515,2018-10-20.0181469,bG,1.38,16.546,16.239,0.165,1.16,0.175,g
2458411.517,2018-10-20.0194386,bG,1.5,16.483,16.471,0.217,0.937,0.185,g
2458411.518,2018-10-20.0207126,bG,1.46,16.32,15.916,0.151,1.562,0.215,g
2458412.49,2018-10-20.9924998,bG,2.09,15.838,15.838,99.99,0.88,0.336,g
2458412.491,2018-10-20.9937765,bG,2.06,16.076,15.894,0.185,1.594,0.27,g
2458414.504,2018-10-23.0071336,bk,1.51,16.243,16.169,0.205,1.238,0.231,g
2458414.505,2018-10-23.0083614,bk,1.49,16.081,16.081,99.99,0.71,0.268,g
2458414.507,2018-10-23.0095784,bk,1.93,16.027,16.027,99.99,0.558,0.282,g
2458415.505,2018-10-24.0084444,bG,1.54,16.032,16.032,99.99,0.946,0.281,g
2458415.507,2018-10-24.0097175,bG,1.5,16.044,16.044,99.99,1.119,0.278,g
2458415.508,2018-10-24.0109964,bG,1.54,15.94,15.94,99.99,0.877,0.306,g
2458416.502,2018-10-25.0050689,bG,2.04,16.051,16.051,99.99,0.791,0.276,g
2458416.503,2018-10-25.0063362,bG,1.99,16.058,16.058,99.99,1.078,0.274,g
2458416.504,2018-10-25.0076146,bG,2.01,16.025,16.025,99.99,1.22,0.282,g
2458417.498,2018-10-26.0015202,bk,1.49,16.463,16.387,0.205,1.012,0.189,g
2458417.499,2018-10-26.0027431,bk,1.43,16.508,16.186,0.163,1.218,0.181,g
2458417.501,2018-10-26.0039674,bk,1.55,16.589,16.139,0.145,1.272,0.168,g
2458518.879,2019-02-04.3823221,bG,1.48,16.23,16.062,0.188,1.366,0.234,g
2458518.88,2019-02-04.3835928,bG,1.46,16.106,16.106,99.99,1.178,0.262,g
2458518.881,2019-02-04.3848543,bG,1.4,15.859,15.859,99.99,0.805,0.329,g
2458519.878,2019-02-05.3819417,bk,1.38,16.204,16.204,99.99,0.918,0.24,g
2458519.879,2019-02-05.3831619,bk,1.46,16.248,15.965,0.169,1.492,0.23,g
2458519.881,2019-02-05.3843776,bk,1.41,15.979,15.979,99.99,1.059,0.295,g
2458520.874,2019-02-06.3775530,bk,1.45,16.698,16.607,0.202,0.827,0.152,g
2458520.875,2019-02-06.3787675,bk,1.44,16.493,14.901,0.051,3.976,0.184,g
2458520.876,2019-02-06.3799868,bk,1.48,16.428,16.167,0.173,1.239,0.195,g
2458521.874,2019-02-07.3779135,bG,1.42,15.382,15.382,99.99,0.889,0.511,g
2458521.876,2019-02-07.3793642,bG,1.39,15.75,15.75,99.99,0.559,0.364,g
2458521.877,2019-02-07.3806185,bG,1.46,15.741,15.741,99.99,0.819,0.367,g
2458522.874,2019-02-08.3774951,bG,1.55,16.64,16.218,0.149,1.182,0.16,g
2458522.875,2019-02-08.3787582,bG,1.52,16.651,16.012,0.122,1.429,0.159,g
2458522.877,2019-02-08.3800357,bG,1.43,16.504,16.141,0.157,1.27,0.182,g
2458523.869,2019-02-09.3726559,bG,1.44,16.825,16.095,0.112,1.324,0.135,g
2458523.871,2019-02-09.3739334,bG,1.47,16.743,16.626,0.197,0.812,0.146,g
2458523.872,2019-02-09.3751936,bG,1.49,16.734,16.435,0.166,0.969,0.147,g
2458524.865,2019-02-10.3682724,bG,1.47,16.608,16.079,0.135,1.345,0.165,g
2458524.866,2019-02-10.3695261,bG,1.48,16.945,16.543,0.152,0.877,0.121,g
2458524.867,2019-02-10.3707883,bG,1.42,16.968,16.258,0.114,1.141,0.119,g
2458525.86,2019-02-11.3636635,bG,1.44,16.742,16.137,0.126,1.274,0.146,g
2458525.862,2019-02-11.3649255,bG,1.41,16.802,16.252,0.132,1.146,0.138,g
2458525.863,2019-02-11.3661922,bG,1.44,16.81,16.359,0.145,1.038,0.137,g
2458526.86,2019-02-12.3630113,bG,1.53,16.78,16.387,0.153,1.012,0.141,g
2458526.861,2019-02-12.3642856,bG,1.45,16.666,16.385,0.169,1.014,0.157,g
2458526.862,2019-02-12.3655482,bG,1.5,16.726,16.353,0.155,1.044,0.148,g
2458527.855,2019-02-13.3585156,bG,1.5,16.721,16.195,0.135,1.207,0.149,g
2458527.857,2019-02-13.3598199,bG,1.51,16.834,16.676,0.189,0.776,0.134,g
2458527.858,2019-02-13.3611126,bG,1.51,16.794,16.17,0.123,1.236,0.139,g
2458528.854,2019-02-14.3574307,bk,1.49,17.031,16.315,0.113,1.081,0.112,g
2458528.856,2019-02-14.3586489,bk,1.47,16.71,15.378,0.064,2.565,0.15,g
2458528.857,2019-02-14.3598652,bk,1.45,16.986,16.255,0.112,1.143,0.117,g
2458529.862,2019-02-15.3650414,bG,1.42,16.916,16.43,0.14,0.972,0.124,g
2458529.863,2019-02-15.3663159,bG,1.43,16.779,16.39,0.153,1.01,0.141,g
2458529.865,2019-02-15.3675870,bG,1.5,16.914,16.267,0.121,1.131,0.125,g
2458532.865,2019-02-18.3680381,bG,1.46,16.39,16.193,0.183,1.21,0.202,g
2458532.867,2019-02-18.3693109,bG,1.49,16.459,16.459,99.99,0.917,0.189,g
2458532.868,2019-02-18.3705909,bG,1.5,16.58,16.465,0.197,0.942,0.17,g
2458533.862,2019-02-19.3646350,bG,1.47,15.925,15.925,99.99,0.155,0.31,g
2458533.863,2019-02-19.3659103,bG,1.38,16.083,16.083,99.99,1.206,0.268,g
2458534.872,2019-02-20.3743127,bG,1.37,16.068,16.068,99.99,0.395,0.272,g
2458534.873,2019-02-20.3755869,bG,1.47,15.913,15.913,99.99,0.837,0.313,g
2458534.874,2019-02-20.3768583,bG,1.42,15.986,15.986,99.99,1.044,0.293,g
2458537.894,2019-02-23.3966101,bG,1.48,16.192,15.963,0.178,1.496,0.242,g
2458537.896,2019-02-23.3978888,bG,1.45,16.109,16.109,99.99,0.821,0.262,g
2458537.897,2019-02-23.3991646,bG,1.45,15.993,15.993,99.99,0.551,0.291,g
2458539.852,2019-02-25.3544826,bk,1.46,16.35,14.709,0.048,4.747,0.21,g
2458539.854,2019-02-25.3557016,bk,1.49,16.359,16.346,0.217,1.051,0.208,g
2458539.855,2019-02-25.3569187,bk,1.44,16.362,16.22,0.192,1.18,0.207,g
2458544.897,2019-03-02.3987983,bG,1.41,16.652,16.129,0.136,1.283,0.159,g
2458544.899,2019-03-02.4000775,bG,1.4,16.545,16.325,0.179,1.071,0.175,g
2458544.9,2019-03-02.4013385,bG,1.42,16.483,15.978,0.138,1.475,0.185,g
2458546.891,2019-03-04.3926631,bk,1.5,16.911,16.196,0.113,1.207,0.125,g
2458546.893,2019-03-04.3938843,bk,1.55,16.963,16.2,0.109,1.201,0.119,g
2458546.894,2019-03-04.3951023,bk,1.52,16.85,16.047,0.105,1.385,0.132,g
2458549.819,2019-03-07.3204929,bG,1.5,17.04,16.059,0.089,1.368,0.111,g
2458549.821,2019-03-07.3217641,bG,1.46,16.959,16.429,0.135,0.974,0.12,g
2458549.822,2019-03-07.3230282,bG,1.49,16.931,16.223,0.114,1.177,0.123,g
2458550.815,2019-03-08.3156611,bk,1.4,17.035,16.232,0.105,1.167,0.111,g
2458550.816,2019-03-08.3168731,bk,1.42,16.909,16.318,0.127,1.078,0.125,g
2458550.817,2019-03-08.3180910,bk,1.47,16.931,16.132,0.105,1.279,0.123,g
2458551.814,2019-03-09.3149074,bG,1.44,17.019,16.149,0.098,1.26,0.113,g
2458551.815,2019-03-09.3161880,bG,1.52,16.869,16.194,0.118,1.209,0.13,g
2458551.817,2019-03-09.3174645,bG,1.49,16.976,16.175,0.105,1.23,0.118,g
2458552.809,2019-03-10.3102041,bG,1.49,16.909,16.348,0.131,1.049,0.125,g
2458552.811,2019-03-10.3114657,bG,1.45,16.952,16.408,0.133,0.993,0.12,g
2458552.812,2019-03-10.3127292,bG,1.51,16.881,16.428,0.144,0.975,0.128,g
2458553.809,2019-03-11.3093780,bG,1.44,16.761,16.288,0.142,1.108,0.143,g
2458553.81,2019-03-11.3106516,bG,1.46,16.863,16.504,0.157,0.909,0.131,g
2458553.811,2019-03-11.3119349,bG,1.46,17.083,16.16,0.094,1.247,0.107,g
2458555.804,2019-03-13.3048328,bG,1.44,16.958,16.165,0.106,1.241,0.12,g
2458555.806,2019-03-13.3061011,bG,1.48,16.899,16.059,0.101,1.369,0.126,g
2458556.81,2019-03-14.3106078,bG,1.46,16.958,16.32,0.122,1.077,0.12,g
2458556.811,2019-03-14.3118813,bG,1.46,16.915,16.243,0.118,1.156,0.125,g
2458556.813,2019-03-14.3131457,bG,1.43,17.079,16.264,0.103,1.134,0.107,g
2458557.821,2019-03-15.3212949,bG,1.44,16.974,16.241,0.112,1.157,0.118,g
2458557.822,2019-03-15.3225601,bG,1.39,16.941,16.272,0.118,1.125,0.122,g
2458557.824,2019-03-15.3238239,bG,1.39,16.918,16.319,0.126,1.078,0.124,g
2458558.858,2019-03-16.3582493,bG,1.46,17.037,16.65,0.154,0.794,0.111,g
2458558.859,2019-03-16.3596129,bG,1.44,16.945,16.403,0.133,0.997,0.121,g
2458558.861,2019-03-16.3608826,bG,1.49,17.055,16.332,0.112,1.065,0.109,g
2458560.788,2019-03-18.2878576,bk,1.44,16.348,16.348,99.99,0.965,0.21,g
2458560.789,2019-03-18.2890744,bk,1.43,16.254,15.031,0.071,3.53,0.229,g
2458560.79,2019-03-18.2902932,bk,1.43,16.473,16.171,0.166,1.235,0.187,g
2458562.784,2019-03-20.2833853,bG,1.51,16.016,16.016,99.99,1.164,0.285,g
2458562.785,2019-03-20.2846497,bG,1.42,15.933,15.881,0.209,1.612,0.307,g
2458562.786,2019-03-20.2859128,bG,1.47,15.943,15.943,99.99,1.001,0.305,g
2458563.781,2019-03-21.2810773,bk,1.46,15.777,15.714,0.207,1.88,0.355,g
2458563.783,2019-03-21.2823010,bk,1.41,15.782,15.782,99.99,1.694,0.353,g
2458563.784,2019-03-21.2835165,bk,1.45,15.776,15.776,99.99,1.059,0.355,g
2458564.778,2019-03-22.2775798,bG,1.48,16.335,16.27,0.207,1.127,0.212,g
2458564.779,2019-03-22.2788453,bG,1.56,16.045,16.045,99.99,0.208,0.277,g
2458564.781,2019-03-22.2801256,bG,1.5,16.108,16.108,99.99,0.82,0.262,g
2458565.777,2019-03-23.2767159,bG,1.44,16.075,16.075,99.99,0.791,0.27,g
2458565.778,2019-03-23.2779854,bG,1.48,16.128,16.128,99.99,0.554,0.257,g
2458565.78,2019-03-23.2792545,bG,1.46,16.121,16.121,99.99,0.626,0.259,g
2458566.773,2019-03-24.2720184,bG,1.48,16.213,16.202,0.217,1.2,0.238,g
2458566.774,2019-03-24.2733606,bG,1.51,16.137,16.137,99.99,1.264,0.255,g
2458566.775,2019-03-24.2746364,bG,1.45,16.228,16.228,99.99,1.133,0.234,g
2458567.793,2019-03-25.2919855,bk,1.42,16.314,15.979,0.161,1.474,0.217,g
2458567.794,2019-03-25.2932034,bk,1.5,16.408,16.408,99.99,0.924,0.199,g
2458567.795,2019-03-25.2944193,bk,1.5,16.138,15.895,0.175,1.593,0.255,g
2458571.518,2019-03-29.0165581,bo,1.56,16.791,16.352,0.146,1.045,0.14,g
2458571.519,2019-03-29.0177586,bo,1.43,16.706,16.222,0.14,1.178,0.151,g
2458571.52,2019-03-29.0189743,bo,1.48,16.841,16.271,0.13,1.126,0.133,g
2458572.623,2019-03-30.1215748,bo,1.46,17.144,16.621,0.135,0.816,0.101,g
2458572.624,2019-03-30.1227721,bo,1.45,99.99,99.99,99.99,99.99,99.99,g
2458572.625,2019-03-30.1239765,bo,1.36,17.205,16.408,0.105,0.992,0.095,g
2458574.748,2019-04-01.2469685,bG,1.45,16.946,16.228,0.113,1.172,0.121,g
2458574.75,2019-04-01.2482314,bG,1.44,16.919,16.403,0.136,0.997,0.124,g
2458575.515,2019-04-02.0139289,bo,1.44,17.138,16.308,0.102,1.088,0.101,g
2458575.517,2019-04-02.0151306,bo,1.56,17.119,16.198,0.094,1.204,0.103,g
2458575.518,2019-04-02.0163391,bo,1.47,17.273,16.345,0.093,1.051,0.09,g
2458575.907,2019-04-02.4059831,bk,1.45,16.904,16.356,0.132,1.042,0.126,g
2458575.909,2019-04-02.4072047,bk,1.5,16.979,15.961,0.086,1.499,0.117,g
2458575.91,2019-04-02.4084237,bk,1.47,16.853,15.962,0.096,1.497,0.132,g
2458576.815,2019-04-03.3136562,bk,1.48,17.068,16.476,0.127,0.932,0.108,g
2458576.816,2019-04-03.3148744,bk,1.43,17.005,16.074,0.093,1.35,0.115,g
2458576.818,2019-04-03.3160938,bk,1.49,16.98,15.84,0.077,1.676,0.117,g
2458578.736,2019-04-05.2344414,bG,1.5,16.783,16.192,0.127,1.211,0.141,g
2458578.737,2019-04-05.2357395,bG,1.46,16.867,16.637,0.178,0.804,0.13,g
2458578.739,2019-04-05.2370065,bG,1.46,16.904,16.068,0.102,1.357,0.126,g
2458579.75,2019-04-06.2485743,bk,1.54,16.934,16.663,0.171,0.785,0.122,g
2458579.752,2019-04-06.2497945,bk,1.48,16.847,16.452,0.153,0.953,0.133,g
2458579.753,2019-04-06.2510243,bk,1.45,16.838,16.223,0.124,1.177,0.134,g
2458580.733,2019-04-07.2306597,bG,1.39,16.865,16.336,0.135,1.061,0.13,g
2458580.734,2019-04-07.2319318,bG,1.43,17.022,16.547,0.142,0.873,0.113,g
2458580.735,2019-04-07.2331956,bG,1.44,16.915,16.248,0.119,1.15,0.125,g
2458581.758,2019-04-08.2562452,bk,1.52,16.918,15.825,0.08,1.698,0.124,g
2458581.759,2019-04-08.2574670,bk,2.03,16.949,16.034,0.094,1.401,0.121,g
2458581.761,2019-04-08.2586849,bk,2.05,16.836,16.087,0.11,1.334,0.134,g
2458582.777,2019-04-09.2746907,bG,1.46,16.848,16.293,0.131,1.104,0.132,g
2458582.778,2019-04-09.2759679,bG,1.45,17.122,16.976,0.192,0.589,0.103,g
2458582.779,2019-04-09.2772417,bG,1.47,16.92,16.166,0.11,1.24,0.124,g
2458583.719,2019-04-10.2172518,bk,1.5,16.939,15.956,0.089,1.506,0.122,g
2458583.721,2019-04-10.2184732,bk,1.42,16.974,16.237,0.111,1.162,0.118,g
2458583.722,2019-04-10.2196901,bk,1.42,16.942,16.074,0.099,1.35,0.121,g
2458583.918,2019-04-10.4155601,bG,1.42,16.898,16.121,0.107,1.294,0.126,g
2458583.919,2019-04-10.4168184,bG,1.49,16.751,15.994,0.109,1.453,0.145,g
2458583.92,2019-04-10.4180962,bG,1.45,16.797,16.218,0.129,1.183,0.139,g
2458585.46,2019-04-11.9578983,bo,1.36,17.184,16.293,0.096,1.104,0.097,g
2458585.461,2019-04-11.9590991,bo,1.44,17.259,16.375,0.097,1.023,0.091,g
2458585.463,2019-04-11.9603092,bo,1.45,17.287,16.49,0.105,0.921,0.088,g
2458585.785,2019-04-12.2826899,bG,1.36,16.915,16.458,0.144,0.948,0.124,g
2458585.786,2019-04-12.2839591,bG,1.46,17.058,16.304,0.109,1.092,0.109,g
2458585.788,2019-04-12.2852334,bG,1.42,17.074,16.424,0.12,0.979,0.108,g
2458586.703,2019-04-13.2003351,bk,1.4,17.003,16.409,0.127,0.991,0.115,g
2458586.704,2019-04-13.2015603,bk,1.44,16.876,16.222,0.12,1.178,0.129,g
2458586.705,2019-04-13.2027756,bk,1.42,16.92,16.563,0.158,0.861,0.124,g
2458587.86,2019-04-14.3572576,bk,1.48,17.15,16.483,0.119,0.927,0.1,g
2458587.861,2019-04-14.3584709,bk,1.47,17.052,16.063,0.088,1.364,0.11,g
2458587.862,2019-04-14.3596888,bk,1.5,17.06,16.238,0.103,1.161,0.109,g
2458588.749,2019-04-15.2460565,bk,1.5,16.653,15.945,0.114,1.52,0.158,g
2458588.75,2019-04-15.2472737,bk,1.51,16.613,15.618,0.088,2.056,0.164,g
2458588.751,2019-04-15.2484903,bk,1.56,16.685,16.211,0.142,1.19,0.154,g
2458589.763,2019-04-16.2606424,bG,1.48,16.404,16.384,0.215,1.015,0.199,g
2458589.765,2019-04-16.2619125,bG,1.45,16.459,16.213,0.175,1.188,0.189,g
2458589.766,2019-04-16.2631888,bG,1.44,16.427,16.427,99.99,0.94,0.195,g
2458590.86,2019-04-17.3570428,bG,1.51,16.765,16.459,0.165,0.947,0.143,g
2458590.861,2019-04-17.3583059,bG,1.45,16.858,16.831,0.214,0.672,0.131,g
2458590.862,2019-04-17.3596526,bG,1.47,16.793,16.351,0.146,1.046,0.139,g
2458593.712,2019-04-20.2091819,bG,1.49,15.762,15.762,99.99,0.339,0.36,g
2458593.714,2019-04-20.2104579,bG,1.43,15.89,15.89,99.99,0.358,0.32,g
2458593.715,2019-04-20.2117214,bG,1.54,15.795,15.795,99.99,1.004,0.349,g
2458595.865,2019-04-22.3614118,bk,1.49,16.04,15.893,0.191,1.596,0.279,g
2458595.866,2019-04-22.362625,bk,1.42,16.14,16.14,99.99,1.028,0.254,g
2458595.867,2019-04-22.3638421,bk,1.47,16.096,14.169,0.037,7.809,0.265,g
2458599.53,2019-04-26.0268179,bo,1.39,16.903,16.646,0.173,0.797,0.126,g
2458599.532,2019-04-26.0280231,bo,1.44,16.799,16.205,0.127,1.197,0.139,g
2458599.533,2019-04-26.0292226,bo,1.42,16.985,16.086,0.096,1.335,0.117,g
2458600.857,2019-04-27.3529630,bk,1.42,16.853,16.214,0.122,1.186,0.132,g
2458600.858,2019-04-27.3542020,bk,1.41,16.887,16.412,0.142,0.989,0.128,g
2458600.859,2019-04-27.3554270,bk,1.43,16.73,16.091,0.122,1.33,0.148,g
2458601.853,2019-04-28.3492998,bk,1.47,16.979,16.309,0.118,1.088,0.117,g
2458601.854,2019-04-28.3505202,bk,1.49,16.932,16.421,0.137,0.98,0.123,g
2458601.855,2019-04-28.3517370,bk,1.41,17.012,16.25,0.109,1.148,0.114,g
2458602.754,2019-04-29.2499347,bk,1.44,17.149,16.277,0.098,1.12,0.1,g
2458602.755,2019-04-29.2511534,bk,1.46,16.978,15.971,0.087,1.484,0.118,g
2458602.756,2019-04-29.2523736,bk,1.45,17.03,16.576,0.144,0.85,0.112,g
2458602.862,2019-04-29.3578516,bG,1.43,16.896,16.376,0.136,1.023,0.127,g
2458602.863,2019-04-29.3591299,bG,1.42,17.033,16.252,0.107,1.147,0.112,g
2458602.864,2019-04-29.3604052,bG,1.42,17.023,16.498,0.135,0.914,0.113,g
2458603.881,2019-04-30.3770347,bG,1.43,16.997,16.553,0.146,0.869,0.115,g
2458603.882,2019-04-30.3783103,bG,1.47,17.054,16.409,0.121,0.992,0.11,g
2458603.883,2019-04-30.3795877,bG,1.4,17.014,16.171,0.101,1.235,0.114,g
2458604.687,2019-05-01.1830513,bk,1.45,16.931,16.003,0.093,1.443,0.123,g
2458604.688,2019-05-01.1842822,bk,1.48,17.002,16.236,0.108,1.163,0.115,g
2458604.689,2019-05-01.1855034,bk,1.57,17.111,16.79,0.163,0.699,0.104,g
2458605.688,2019-05-02.1836186,bG,1.44,16.75,16.257,0.139,1.14,0.145,g
2458605.689,2019-05-02.1848848,bG,1.43,16.875,16.271,0.126,1.127,0.129,g
2458605.875,2019-05-02.3714416,bk,1.48,17.053,16.198,0.1,1.205,0.11,g
2458605.877,2019-05-02.3726596,bk,1.47,17.083,16.232,0.1,1.168,0.107,g
2458605.878,2019-05-02.3738893,bk,1.44,16.927,16.379,0.132,1.02,0.123,g
2458607.659,2019-05-04.1547844,bG,1.42,16.642,15.949,0.116,1.515,0.16,g
2458607.66,2019-05-04.1560554,bG,1.45,16.457,16.273,0.185,1.124,0.19,g
2458607.661,2019-05-04.1573346,bG,1.47,16.477,16.477,99.99,0.68,0.186,g
