HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458921.882,2020-03-13.3821024,bk,1.5,16.21,16.21,99.99,1.032,0.238,g
2458921.883,2020-03-13.3833320,bk,1.37,16.171,16.171,99.99,0.712,0.247,g
2458922.896,2020-03-14.3959961,bG,1.43,15.965,15.965,99.99,0.857,0.298,g
2458922.897,2020-03-14.3972693,bG,1.55,15.737,15.737,99.99,1.178,0.368,g
2458922.898,2020-03-14.3985593,bG,1.53,15.767,15.767,99.99,1.543,0.358,g
2458927.626,2020-03-19.1259635,bo,1.46,99.99,99.99,99.99,99.99,99.99,g
2458927.627,2020-03-19.1271817,bo,1.45,17.048,16.707,0.16,0.754,0.11,g
2458927.629,2020-03-19.1283954,bo,1.51,16.833,16.237,0.127,1.162,0.134,g
2458929.538,2020-03-21.0371842,bo,1.56,16.998,16.163,0.101,1.244,0.115,g
2458929.539,2020-03-21.0384128,bo,1.57,17.04,16.239,0.105,1.16,0.111,g
2458929.54,2020-03-21.0396255,bo,1.53,17.001,16.466,0.134,0.941,0.115,g
2458931.519,2020-03-23.0182958,bo,1.47,16.983,16.343,0.122,1.054,0.117,g
2458931.52,2020-03-23.0195079,bo,1.41,17.102,16.34,0.109,1.057,0.105,g
2458931.521,2020-03-23.0207349,bo,1.48,99.99,99.99,99.99,99.99,99.99,g
2458932.574,2020-03-24.0736854,bo,1.48,17.118,16.361,0.109,1.036,0.103,g
2458932.576,2020-03-24.0749004,bo,1.51,17.115,16.345,0.108,1.052,0.104,g
2458932.577,2020-03-24.0761165,bo,1.43,99.99,99.99,99.99,99.99,99.99,g
2458976.399,2020-05-06.8949806,bo,1.45,14.786,14.786,99.99,0.098,0.885,g
2458976.401,2020-05-06.8962001,bo,1.93,14.871,14.871,99.99,2.106,0.818,g
2458976.402,2020-05-06.8974184,bo,1.93,14.672,14.086,0.128,8.428,0.984,g
2458983.384,2020-05-13.8789486,bo,1.44,17.172,16.43,0.111,0.973,0.098,g
2458983.385,2020-05-13.8801662,bo,1.46,17.122,16.529,0.127,0.888,0.103,g
2458983.386,2020-05-13.8813799,bo,1.51,17.091,16.359,0.112,1.039,0.106,g
2458985.368,2020-05-15.8629034,bo,1.51,99.99,99.99,99.99,99.99,99.99,g
2458985.369,2020-05-15.8641190,bo,1.46,16.762,16.293,0.142,1.104,0.143,g
2458985.37,2020-05-15.8653325,bo,1.44,99.99,99.99,99.99,99.99,99.99,g
2458988.51,2020-05-19.0053137,bo,1.43,16.636,16.293,0.16,1.104,0.161,g
2458988.512,2020-05-19.0065277,bo,1.72,99.99,99.99,99.99,99.99,99.99,g
2458988.513,2020-05-19.0077341,bo,1.4,99.99,99.99,99.99,99.99,99.99,g
2458989.366,2020-05-19.8605673,bo,1.95,17.164,16.243,0.094,1.155,0.099,g
2458989.367,2020-05-19.8617879,bo,1.97,99.99,99.99,99.99,99.99,99.99,g
2458989.368,2020-05-19.8629968,bo,1.98,99.99,99.99,99.99,99.99,99.99,g
2458997.361,2020-05-27.8554184,bo,1.43,99.99,99.99,99.99,99.99,99.99,g
2458997.362,2020-05-27.8566459,bo,1.54,17.227,16.148,0.081,1.261,0.093,g
2458997.363,2020-05-27.8578664,bo,1.45,17.073,16.234,0.101,1.165,0.108,g
2459001.324,2020-05-31.8185652,bo,1.56,16.57,15.965,0.126,1.494,0.171,g
2459001.325,2020-05-31.8197740,bo,1.52,16.454,16.324,0.194,1.073,0.19,g
2459001.327,2020-05-31.8209981,bo,1.52,16.452,16.452,99.99,0.791,0.191,g
2459002.331,2020-06-01.8251513,bo,1.46,16.276,16.276,99.99,0.895,0.224,g
2459002.332,2020-06-01.8263603,bo,1.46,16.285,16.038,0.175,1.395,0.222,g
2459002.333,2020-06-01.8275748,bo,1.49,16.406,16.406,99.99,0.616,0.199,g
